"","text"
"1","  dpusdatarujtg 
efikasi vaksin sinovac mencapai  melebihi syarat minimal who yakni 
selengkapnya yuk simak infog"
"2","  ga tebakan

drpd aku bingung dijewer ma bluebirdmari seruan yuuk
soal tinggi aku cm
jawab di replay
clue gt c"
"3","ulama islam di kanada peringatkan umat muslim jangan tertipu konspirasi vaksin covid "
"4","  vaksin tak percaya ibu mengandung makan kicap anak jadi hitam percaya pulak"
"5","  vaksin tak percaya abe janji abe delete percaya pula"
"6","  vaksin tak percaya pil kurus percaya bagus"
"7","  vaksin tak percaya janji manis lelaki percaya plak"
"8","lagilagi hoax

ada berita 
setelah disuntik vaksin dikabarkan jokowi saat ini kejang lalu mati 

fakt "
"9","warga lokal ga dikasih pilihan vaksin yang dijual swasta"
"10","  vaksin tak percaya pil kurus percaya bagus"
"11","  vaksin tak percaya pil kurus percaya bagus"
"12","  vaksin tak percaya pil kurus percaya bagus"
"13","  vaksin tak percaya pil kurus percaya bagus"
"14","  vaksin tak percaya ibu mengandung makan kicap anak jadi hitam percaya pulak"
"15","  vaksin tak percaya janji manis lelaki percaya plak"
"16","  vaksin tak percaya ibu mengandung makan kicap anak jadi hitam percaya pulak"
"17","  vaksin tak percaya pil kurus percaya bagus"
"18","  temen gua kena covid x gejala infeksi ke lebih berat dari yg pertama sampe presyok asli kalo bisa vaksin mendin"
"19","  vaksin tak percaya pil kurus percaya bagus"
"20","  vaksin tak percaya ibu mengandung makan kicap anak jadi hitam percaya pulak"
"21","  vaksin tak percaya janji manis lelaki percaya plak"
"22","  vaksin tak percaya pil kurus percaya bagus"
"23","  vaksin tak percaya pil kurus percaya bagus"
"24","that means vaksin akan memberi kesan yg berlainan pada berlainan orang  "
"25","  vaksin tak percaya pil kurus percaya bagus"
"26","  vaksin tak percaya pil kurus percaya bagus"
"27","  vaksin terbaik bagi mengawal wabak covid ini adalah diri kita sendiri

jaga diri dan keluarga patuhi sop dan amalkan"
"28","  vaksin tak percaya janji manis lelaki percaya plak"
"29","  vaksin tak percaya janji manis lelaki percaya plak"
"30","  vaksin tak percaya pil kurus percaya bagus"
"31","  vaksin tak percaya pil kurus percaya bagus"
"32","  ada yg sekarang ngaku pro nkri bawa pancasila kalo bicara
dikira kita semua bungul seperti kadrun

awasfpiularganti"
"33","  vaksin tak percaya janji manis lelaki percaya plak"
"34","  vaksin tak percaya ibu mengandung makan kicap anak jadi hitam percaya pulak"
"35","  vaksin tak percaya ibu mengandung makan kicap anak jadi hitam percaya pulak"
"36","jangan takut divaksin ya pahari gaesss  vaksin covid aman dan halal "
"37","  vaksin tak percaya pil kurus percaya bagus"
"38","  vaksin tak percaya pil kurus percaya bagus"
"39","  vaksin tak percaya pil kurus percaya bagus"
"40","  vaksin tak percaya bercinta percaya pulak"
"41","  vaksin tak percaya pil kurus percaya bagus"
"42","  waduh bisa jadi gay rupanya divaksin kata si jahudi ini ayo siapa yang mau divaksin 

"
"43","  analisis logika bapak ini sangat logik jangan terperdaya dgn sikap ripka  aku bangga jadi anak pki menolak vaksin sinovac"
"44","  vaksin tak percaya ibu mengandung makan kicap anak jadi hitam percaya pulak"
"45","  cuma gara ngecat atap rumah
dasar bungul

tangkal hoax vaksin kovid
awasfpiulargantikulit "
"46","  vaksin tak percaya ibu mengandung makan kicap anak jadi hitam percaya pulak"
"47","  vaksin tak percaya pil kurus percaya bagus"
"48","  vaksin tak percaya janji manis lelaki percaya plak"
"49","  vaksin tak percaya bercinta percaya pulak"
"50","  vaksin tak percaya pil kurus percaya bagus"
"51","  hoaxs kadrun pada vaksin dipasang chip agar bisa memantau pergerakan dan lokasi seseorang

faktanya di kemasan vaksin han"
"52","  vaksin tak percaya ibu mengandung makan kicap anak jadi hitam percaya pulak"
"53","  vaksin tak percaya janji manis lelaki percaya plak"
"54","  vaksin tak percaya pil kurus percaya bagus"
"55","  vaksin tak percaya pil kurus percaya bagus"
"56","  vaksin tak percaya pil kurus percaya bagus"
"57","  vaksin tak percaya janji manis lelaki percaya plak"
"58","  komnas kipi telah menerima  laporan efek samping terkait vaksin corona buatan sinovac per selasa  begini keterangann"
"59","  hai gaes sudah tau kan pemerintah indonesia telah memulai tahap vaksinasi covid  presiden jokowi yg pertama disuntik v"
"60","  vaksin tak percaya pil kurus percaya bagus"
"61","  gilakkk ini  

pantas saja teriak rugi terus didepan pak  
ternyata digarong sm oknum berengsek 

jika terb"
"62","  vaksin tak percaya ibu mengandung makan kicap anak jadi hitam percaya pulak"
